decision,reason,feature_to_query,feature_shap_value,missing_impact,prediction,prediction_proba,true_label,instance_idx,variance
WITHHOLD,missing_impact,issue_history,-0.1801501829289767,0.29491495881659036,,,1,301,
WITHHOLD,missing_impact,browser_version,-0.11964295288409742,0.28601459596038625,,,1,39,
PREDICT,confident,,,0.0,0.0,0.1835303588125179,0,338,0.0
PREDICT,confident,,,0.0,0.0,0.10795413588041196,0,410,0.0
WITHHOLD,missing_impact,ticket_priority,-0.18770839495908775,0.3279379251396952,,,0,155,
PREDICT,confident,,,0.07741963024619458,1.0,0.7814832546426248,1,255,0.0006841666562679555
PREDICT,confident,,,0.0,0.0,0.27911296698959365,0,244,0.0
WITHHOLD,missing_impact,ticket_priority,-0.19811792362785968,0.20889503627343342,,,0,101,
PREDICT,confident,,,0.0,1.0,0.6271567645659424,1,400,0.0
WITHHOLD,missing_impact,crm_version,-0.1114483853823549,0.2072242704066885,,,0,30,
PREDICT,confident,,,0.12148827372819729,1.0,0.8131351239312236,1,72,0.0002457479148812192
PREDICT,confident,,,0.1621542406857069,0.0,0.3346663201448542,1,204,0.0026377017706107593
PREDICT,confident,,,0.08820237782658315,0.0,0.26050741182571824,1,140,0.0003676430900060823
WITHHOLD,missing_impact,ticket_priority,-0.1427107582154927,0.402375470063165,,,1,352,
WITHHOLD,missing_impact,system_change,-0.49147650215547933,0.7137377313005315,,,0,316,
PREDICT,confident,,,0.0,1.0,0.8291779814870937,0,55,0.0
WITHHOLD,missing_impact,system_change,-0.47587942161366187,1.4345344054769098,,,0,168,
PREDICT,confident,,,0.10614342222737966,1.0,0.6831688105338543,1,229,0.0005725628051318222
PREDICT,confident,,,0.1134590752356452,0.0,0.4390986463124405,0,290,0.0016754595282871528
WITHHOLD,missing_impact,system_change,-0.4746914755316639,1.3444964269224329,,,0,82,
PREDICT,confident,,,0.13905069887692725,1.0,0.6091111693403507,0,77,0.0006219523737399883
PREDICT,confident,,,0.18160370567742284,1.0,0.5673459976720675,1,132,0.0027878121157859856
WITHHOLD,missing_impact,ticket_priority,-0.19371049524266218,0.3411504434788645,,,1,323,
PREDICT,confident,,,0.15988959035776185,0.0,0.10788783691551877,0,117,7.859299635639906e-05
WITHHOLD,missing_impact,system_change,-0.2268872403334447,0.7760417194944783,,,0,399,
PREDICT,confident,,,0.15398795222303233,1.0,0.8197477178744713,1,220,0.0005668093421837737
PREDICT,confident,,,0.03265197685336633,0.0,0.3468093483941186,1,79,0.002005318517149282
PREDICT,confident,,,0.0,0.0,0.4966374491503253,1,444,0.0
WITHHOLD,missing_impact,issue_history,-0.26337751443559254,0.7233451687424316,,,1,9,
PREDICT,confident,,,0.09408008991423168,1.0,0.6463537987013928,1,274,0.0007333664132735128
PREDICT,confident,,,0.13957879083012323,0.0,0.41204760506526406,1,381,0.00048167129011775743
PREDICT,confident,,,0.0939596657824245,1.0,0.6326881489356491,1,247,0.00043330702898125204
PREDICT,confident,,,0.08496960990389084,1.0,0.6649662022479238,1,419,0.000752481735663516
PREDICT,confident,,,0.0,1.0,0.6199391628500518,1,113,0.0
PREDICT,confident,,,0.0,0.0,0.32993236181143976,1,448,0.0
PREDICT,confident,,,0.12225274733966017,1.0,0.5488075676172164,1,76,0.0012807797149540833
WITHHOLD,missing_impact,system_change,-0.6034486952321638,0.7133568469650289,,,1,280,
WITHHOLD,missing_impact,ticket_priority,-0.1903462568040343,0.31782695430775704,,,0,409,
WITHHOLD,missing_impact,browser_type,0.11454202002526652,0.22437464018391537,,,1,124,
WITHHOLD,missing_impact,system_change,-0.43963609614095006,1.0739068907051328,,,0,78,
PREDICT,confident,,,0.0,1.0,0.6439582800349737,1,286,0.0
PREDICT,confident,,,0.08996293037711499,1.0,0.7636450067427251,1,90,0.0003145495780664349
WITHHOLD,missing_impact,ticket_priority,-0.15497707915223805,0.23681075165796853,,,0,423,
PREDICT,confident,,,0.1431689288587356,1.0,0.5753752665189819,1,73,0.0011091504976753416
WITHHOLD,missing_impact,technical_complexity,0.1721644793735237,0.43939590174771304,,,0,153,
WITHHOLD,missing_impact,browser_version,-0.14966765852912114,0.37172277286142047,,,0,75,
